"baseMean","log2FoldChange","lfcSE","pvalue","padj","overFC"
"ENSG00000211592.8",213352.446811258,-0.0978674321838982,0.308322421465633,0.125654212119037,0.19929198539108,0
"ENSG00000240041.1",6057.16088277115,0.0974107754694793,0.334679450420787,0.697512193249939,0.773611911601367,0
"ENSG00000211594.2",3767.25845133758,0.00812847825418412,0.336554294259574,0.507350718407184,0.608170411492035,0
"ENSG00000211677.2",65746.165006514,0.0516463124995197,0.321403107418627,0.310447682817071,0.414962543897883,0
"ENSG00000211597.2",3794.61845338757,-0.134787310105412,0.316134333171231,0.224209573654638,0.320210204925825,0
"ENSG00000211895.4",84867.9374132558,0.32606052286064,0.336082647621584,0.483109175860117,0.586393152305228,1
"ENSG00000211596.3",2899.09070936925,-0.101653927929814,0.345690081262259,0.22569800256575,0.321908141433599,0
"ENSG00000211679.2",29764.607324895,-0.234646227095468,0.359087372447654,0.0651574173806772,0.115757899350321,1
"ENSG00000211896.7",264800.038518655,-0.174904096221632,0.341576450690398,0.698370818339855,0.774188037439946,0
"ENSG00000244734.3",1110270.3792522,-1.44650953700746,0.276837553129433,1.01999701994812e-08,1.00127415163937e-07,1
"ENSG00000234638.1",3176.55964884313,0.354772484629034,0.303384220334631,0.15737595450951,0.239993279368242,1
"ENSG00000175084.11",33080.9855861537,-0.0819123623376915,0.253533165535635,0.709527033974981,0.783033648119673,0
"ENSG00000211675.2",27550.952245323,-0.0506805810907148,0.340211712007219,0.84231395567601,0.887167655373883,0
"ENSG00000163220.10",159491.031537958,-0.338374993753999,0.260178532911192,0.127536784677061,0.201741792709884,1
"ENSG00000188536.12",641175.270581273,-1.07281861916362,0.249198083771791,0.000163170948891692,0.000663025202482483,1
"ENSG00000242472.1",2588.75404507101,-0.109547488350923,0.359401014720131,0.106255459897492,0.173151362478634,0
"ENSG00000171345.13",2362.73094005606,5.59884653513935,0.30618165837776,1.42096055041859e-08,1.36985210174484e-07,1
"ENSG00000211893.3",81018.7509491149,0.474830033329633,0.364792435018252,0.941600486292848,0.959960311652145,1
"ENSG00000211900.2",2978.79510692634,0.148978766768787,0.341889387360843,0.565234844507513,0.660396560925945,0
"ENSG00000206172.8",478348.731034932,-1.35527684838756,0.262031082890527,5.60230171756169e-07,4.08638478222147e-06,1
"ENSG00000211897.8",50710.4225761962,0.0179640548179047,0.329286933167104,0.507171854800959,0.608163032409904,0
"ENSG00000239951.1",15807.4906308753,-0.0697084779317882,0.357211859108473,0.599739400380707,0.691542014393448,0
"ENSG00000242887.1",1858.43326361101,0.0698439971473901,0.34417309036591,0.380123622862919,0.486234196042076,0
"ENSG00000211890.3",20283.9168458666,0.617313870339543,0.388009963309942,0.721417318583956,0.792838862712575,1
"ENSG00000143546.9",73393.8823403462,-0.368297849619687,0.269782044754397,0.105555303142273,0.172196912051093,1
"ENSG00000168542.13",2238734.69133113,0.121004577947226,0.392468104270572,0.654564253492519,0.738905865987354,0
"ENSG00000211892.3",21077.797020649,-0.137255349850507,0.325619372047335,0.547240024820718,0.644611560110338,0
"ENSG00000090382.6",193988.422300829,-0.29138587943508,0.28283872872239,0.213775818033224,0.307998765409461,1
"ENSG00000211899.9",43659.1169865244,-0.211951081312329,0.314364111744097,0.662463819062619,0.745436949970342,0
"ENSG00000257764.2",70232.9188634653,-0.307525391762739,0.231451997864841,0.132336124744095,0.208122763987787,1
"ENSG00000152583.12",9487119.01707377,-0.0468254805772502,0.147523901381392,0.739834509170998,0.808081754088233,0
"ENSG00000186081.11",10267.6376201745,2.21652740292754,0.36913804404848,4.30206309551373e-10,5.16705481317476e-09,1
"ENSG00000108821.13",2750524.35437731,0.0414906879154873,0.409328889073578,0.874199071933529,0.910590467251775,0
"ENSG00000254709.7",30050.1030702459,-0.0128349806903119,0.334668605289191,0.958717074486844,0.970799616760952,0
"ENSG00000175793.11",5884.34144412454,0.818850346982358,0.26420310081487,5.2687082351741e-06,3.120845339932e-05,1
"ENSG00000189334.8",1624.6387957059,3.94852678719021,0.255676549072638,3.01906948889184e-18,7.20236366018087e-17,1
"ENSG00000124107.5",65743.5909085356,-0.0510955280628398,0.260151078245502,0.00522763970788088,0.0136326985125324,0
"ENSG00000211949.3",9168.45805178,0.436315388111313,0.394973436352805,0.147812216628962,0.227981554461619,1
"ENSG00000211598.2",11393.7340633871,-0.149809742569287,0.369683325915401,0.189372711759103,0.278729756667283,0
"ENSG00000241351.3",5435.71537862479,0.0637210891224508,0.360011261298843,0.889216929651805,0.921600352164498,0
"ENSG00000253755.1",8705.41030055509,0.134656084254339,0.324496032225167,0.293476692177019,0.396882909219258,0
