"","Symbol","ID","Gene Type","CM tissueType","CM cancerType","CM cellType","CM cellName","unique","p-val","unique-fcs","total-fcs","stat"
"ENSG00000270757.1","HSPE1-MOB4","100529241","protein_coding","","","","","No",5.01e-06,-0.44,-1.96,"1899.79"
"ENSG00000272772.1","AC104109.3",NA,"protein_coding","","","","","No",1.28e-05,-0.61,-1.85,"1889.62"
"ENSG00000269307.1","AC010463.1",NA,"protein_coding","","","","","No",0.000642,-0.14,-1.96,"1671.17"
"ENSG00000268643.1","AC006486.1",NA,"protein_coding","","","","","No",0.00329,-0.01,-1.64,"1315.98"
"ENSG00000118418.14","HMGN3","9324","protein_coding","","","","","No",0.00562,-0.02,-1.75,"926.72"
"ENSG00000116030.16","SUMO1","7341","protein_coding","","","","","No",0.00863,-0.14,-1.24,"794.79"
"ENSG00000112855.14","HARS2","23438","protein_coding","","","","","No",0.00175,-0.11,-1.17,"745.42"
"ENSG00000136463.7","TACO1","51204","protein_coding","","","","","No",1.87e-05,-0.44,-2.04,"717.03"
"ENSG00000110536.13","PTPMT1","114971","protein_coding","","","","","No",0.00096,-0.16,-1.23,"516.11"
"ENSG00000165898.13","ISCA2","122961","protein_coding","","","","","No",6.88e-06,-0.24,-1.37,"508.21"
"ENSG00000159079.18","CFAP298","56683","protein_coding","","","","","No",0.000443,-0.31,-1.38,"377.88"
"ENSG00000100865.14","CINP","51550","protein_coding","","","","","No",0.000864,-0.32,-1.36,"351.64"
"ENSG00000119421.6","NDUFA8","4702","protein_coding","","","","","No",0.0041,-0.32,-2.52,"307.92"
"ENSG00000147533.16","GOLGA7","51125","protein_coding","","","","","No",0.00402,-0.01,-1.32,"260.04"
"ENSG00000177868.11","SVBP","374969","protein_coding","","","","","No",0.00148,-0.58,-1.93,"228.15"
"ENSG00000005194.14","CIAPIN1","57019","protein_coding","","","","","No",6.24e-05,-0.17,-1.58,"221.4"
"ENSG00000135900.3","MRPL44","65080","protein_coding","","","","","No",5.03e-05,-0.76,-1.79,"217.02"
"ENSG00000223821.1","AL603910.1",NA,"antisense","","","","","No",4.38e-22,-0.34,-1.42,"135.58"
"ENSG00000184056.14","VPS33B","26276","protein_coding","","","","","No",0.00339,-0.12,-1.09,"126.4"
"ENSG00000255639.2","AC005833.1",NA,"protein_coding","","","","","No",1.69e-06,-0.28,-2.09,"123.8"
"ENSG00000113312.10","TTC1","7265","protein_coding","","","","","No",1.02e-07,-0.52,-1.46,"117.53"
