"Symbol","Name","Entrez.ID","Ensembl.ID"
"TSPAN6","tetraspanin 6","7105","ENSG00000000003.14"
"TNMD","tenomodulin","64102","ENSG00000000005.5"
"DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic","8813","ENSG00000000419.12"
"SCYL3","SCY1 like pseudokinase 3","57147","ENSG00000000457.13"
"C1orf112","chromosome 1 open reading frame 112","55732","ENSG00000000460.16"
"FGR","FGR proto-oncogene, Src family tyrosine kinase","2268","ENSG00000000938.12"
"CFH","complement factor H","3075","ENSG00000000971.15"
"FUCA2","alpha-L-fucosidase 2","2519","ENSG00000001036.13"
"GCLC","glutamate-cysteine ligase catalytic subunit","2729","ENSG00000001084.10"
"NFYA","nuclear transcription factor Y subunit alpha","4800","ENSG00000001167.14"
"STPG1","sperm tail PG-rich repeat containing 1","90529","ENSG00000001460.17"
"NIPAL3","NIPA like domain containing 3","57185","ENSG00000001461.16"
"LAS1L","LAS1 like, ribosome biogenesis factor","81887","ENSG00000001497.16"
"ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4","22875","ENSG00000001561.6"
"SEMA3F","semaphorin 3F","6405","ENSG00000001617.11"
"CFTR","cystic fibrosis transmembrane conductance regulator","1080","ENSG00000001626.14"
"ANKIB1","ankyrin repeat and IBR domain containing 1","54467","ENSG00000001629.9"
"CYP51A1","cytochrome P450 family 51 subfamily A member 1","1595","ENSG00000001630.15"
"KRIT1","KRIT1, ankyrin repeat containing","889","ENSG00000001631.15"
"RAD52","RAD52 homolog, DNA repair protein","5893","ENSG00000002016.17"
"MYH16","myosin heavy chain 16 pseudogene","84176","ENSG00000002079.12"
"BAD","BCL2 associated agonist of cell death","572","ENSG00000002330.13"
"LAP3","leucine aminopeptidase 3","51056","ENSG00000002549.12"
"CD99","CD99 molecule (Xg blood group)","4267","ENSG00000002586.18"
"CD99","CD99 molecule (Xg blood group)","4267","ENSG00000002586.18_PAR_Y"
"HS3ST1","heparan sulfate-glucosamine 3-sulfotransferase 1","9957","ENSG00000002587.9"
"AOC1","amine oxidase, copper containing 1","26","ENSG00000002726.20"
"WNT16","Wnt family member 16","51384","ENSG00000002745.12"
"HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","23072","ENSG00000002746.14"
"MAD1L1","mitotic arrest deficient 1 like 1","8379","ENSG00000002822.15"
"LASP1","LIM and SH3 protein 1","3927","ENSG00000002834.17"
"SNX11","sorting nexin 11","29916","ENSG00000002919.14"
"TMEM176A","transmembrane protein 176A","55365","ENSG00000002933.7"
"M6PR","mannose-6-phosphate receptor, cation dependent","4074","ENSG00000003056.7"
"KLHL13","kelch like family member 13","90293","ENSG00000003096.13"
"CYP26B1","cytochrome P450 family 26 subfamily B member 1","56603","ENSG00000003137.8"
"ICA1","islet cell autoantigen 1","3382","ENSG00000003147.17"
"DBNDD1","dysbindin domain containing 1","79007","ENSG00000003249.13"
"ALS2","ALS2, alsin Rho guanine nucleotide exchange factor","57679","ENSG00000003393.14"
"CASP10","caspase 10","843","ENSG00000003400.14"
"CFLAR","CASP8 and FADD like apoptosis regulator","8837","ENSG00000003402.19"
"TFPI","tissue factor pathway inhibitor","7035","ENSG00000003436.14"
"NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7","55471","ENSG00000003509.15"
"RBM5","RNA binding motif protein 5","10181","ENSG00000003756.16"
"MTMR7","myotubularin related protein 7","9108","ENSG00000003987.13"
"SLC7A2","solute carrier family 7 member 2","6542","ENSG00000003989.16"
"ARF5","ADP ribosylation factor 5","381","ENSG00000004059.10"
"SARM1","sterile alpha and TIR motif containing 1","23098","ENSG00000004139.13"
"POLDIP2","DNA polymerase delta interacting protein 2","26073","ENSG00000004142.11"
"PLXND1","plexin D1","23129","ENSG00000004399.12"
"AK2","adenylate kinase 2","204","ENSG00000004455.16"
"CD38","CD38 molecule","952","ENSG00000004468.12"
"FKBP4","FKBP prolyl isomerase 4","2288","ENSG00000004478.7"
"KDM1A","lysine demethylase 1A","23028","ENSG00000004487.15"
"RBM6","RNA binding motif protein 6","10180","ENSG00000004534.14"
"CAMKK1","calcium/calmodulin dependent protein kinase kinase 1","84254","ENSG00000004660.14"
"RECQL","RecQ like helicase","5965","ENSG00000004700.15"
"VPS50","VPS50, EARP/GARPII complex subunit","55610","ENSG00000004766.15"
"HSPB6","heat shock protein family B (small) member 6","126393","ENSG00000004776.11"
"ARHGAP33","Rho GTPase activating protein 33","115703","ENSG00000004777.18"
"NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1","4706","ENSG00000004779.9"
"PDK4","pyruvate dehydrogenase kinase 4","5166","ENSG00000004799.7"
"SLC22A16","solute carrier family 22 member 16","85413","ENSG00000004809.13"
"ZMYND10","zinc finger MYND-type containing 10","51364","ENSG00000004838.13"
"ABCB5","ATP binding cassette subfamily B member 5","340273","ENSG00000004846.16"
"ARX","aristaless related homeobox","170302","ENSG00000004848.7"
"SLC25A13","solute carrier family 25 member 13","10165","ENSG00000004864.13"
"ST7","suppression of tumorigenicity 7","7982","ENSG00000004866.19"
"CDC27","cell division cycle 27","996","ENSG00000004897.11"
"SLC4A1","solute carrier family 4 member 1 (Diego blood group)","6521","ENSG00000004939.13"
